epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3277.06,1.01994,1.15707,1.37068,0.74994,0.65984,0.72983,0.50207,1.22978,1.14991,1.46324,0.00247317,0.00247317,0.00247317
78,3319.48,1.02087,1.15897,1.36904,0.72406,0.66354,0.72599,0.49778,1.23323,1.16102,1.45284,0.00242136,0.00242136,0.00242136
79,3361.86,1.00512,1.12285,1.35516,0.72882,0.67844,0.72899,0.50334,1.2206,1.14832,1.45606,0.00236959,0.00236959,0.00236959
80,3404.41,1.01224,1.13697,1.36447,0.74919,0.66224,0.72802,0.4995,1.22453,1.14158,1.45307,0.0023179,0.0023179,0.0023179
81,3446.71,1.00818,1.12091,1.35788,0.72609,0.67709,0.73203,0.49953,1.22667,1.12922,1.45421,0.00226629,0.00226629,0.00226629
82,3489.18,0.99711,1.11267,1.35433,0.7329,0.66944,0.73131,0.50003,1.23307,1.1351,1.45739,0.0022148,0.0022148,0.0022148
83,3531.48,0.99761,1.11715,1.34935,0.72351,0.67177,0.72983,0.50143,1.22039,1.14116,1.44758,0.00216344,0.00216344,0.00216344
84,3573.72,1.00677,1.11755,1.36122,0.73821,0.68501,0.73665,0.50555,1.22272,1.13555,1.44803,0.00211225,0.00211225,0.00211225
85,3616.22,0.98953,1.09004,1.33885,0.74147,0.68257,0.73298,0.50371,1.21271,1.13852,1.43607,0.00206123,0.00206123,0.00206123
86,3658.57,0.9949,1.10022,1.35046,0.7291,0.67522,0.72879,0.50399,1.20958,1.12846,1.43432,0.00201042,0.00201042,0.00201042
87,3700.95,0.98308,1.08763,1.3401,0.72549,0.68031,0.72929,0.50165,1.21482,1.13649,1.44082,0.00195983,0.00195983,0.00195983
88,3743.57,0.97639,1.07993,1.33407,0.7228,0.68979,0.73486,0.50933,1.21609,1.11373,1.44331,0.00190949,0.00190949,0.00190949
89,3786.05,0.97163,1.07076,1.32603,0.73893,0.66779,0.73187,0.50523,1.22068,1.11283,1.44311,0.00185942,0.00185942,0.00185942
90,3828.26,0.97735,1.07077,1.33454,0.74259,0.67496,0.73486,0.50623,1.21977,1.11548,1.44407,0.00180965,0.00180965,0.00180965
91,3870.55,0.96604,1.04608,1.31747,0.72928,0.68436,0.73409,0.50992,1.20031,1.11811,1.42943,0.00176018,0.00176018,0.00176018
92,3913.31,0.96829,1.05772,1.32399,0.74484,0.66614,0.73543,0.51225,1.19765,1.12188,1.42652,0.00171106,0.00171106,0.00171106
93,3955.81,0.96582,1.04175,1.32211,0.75492,0.66942,0.73536,0.51094,1.19993,1.11707,1.42828,0.00166228,0.00166228,0.00166228
94,3998.34,0.95138,1.03044,1.31149,0.74573,0.67396,0.73551,0.51263,1.20035,1.10356,1.42542,0.00161389,0.00161389,0.00161389
95,4040.67,0.95324,1.02441,1.30983,0.73538,0.67295,0.73609,0.51266,1.20022,1.10746,1.42962,0.0015659,0.0015659,0.0015659
96,4083.13,0.9434,1.01649,1.30396,0.76628,0.66755,0.73802,0.51099,1.20375,1.10752,1.42976,0.00151833,0.00151833,0.00151833
97,4125.45,0.95156,1.0194,1.30376,0.75115,0.67883,0.74044,0.51404,1.19801,1.10808,1.42486,0.0014712,0.0014712,0.0014712
98,4167.94,0.94099,1.01381,1.29765,0.75906,0.67145,0.73895,0.51616,1.19607,1.10521,1.43005,0.00142453,0.00142453,0.00142453
99,4210.49,0.93948,1.01682,1.30095,0.75137,0.68547,0.73868,0.51592,1.20005,1.10332,1.43361,0.00137834,0.00137834,0.00137834
100,4252.76,0.93718,1.00586,1.29864,0.76425,0.67359,0.74201,0.5198,1.2015,1.08993,1.43449,0.00133266,0.00133266,0.00133266
101,4295.18,0.93122,1.00301,1.29368,0.77548,0.67026,0.73725,0.51492,1.19847,1.09458,1.43263,0.0012875,0.0012875,0.0012875
