epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,441.418,1.90745,2.60507,2.01016,0.21814,0.20956,0.12176,0.04315,2.28015,2.93225,2.25291,0.00226769,0.00226769,0.00226769
71,447.559,1.91626,2.62625,2.01056,0.25146,0.2075,0.13736,0.05295,2.26402,2.92269,2.26959,0.00214046,0.00214046,0.00214046
72,453.716,1.89479,2.58289,1.985,0.22131,0.20262,0.11504,0.04562,2.25985,2.96017,2.26208,0.00201611,0.00201611,0.00201611
73,459.887,1.9127,2.59638,2.00936,0.22058,0.22797,0.13148,0.04782,2.31605,2.92612,2.30263,0.00189475,0.00189475,0.00189475
74,466.03,1.89433,2.55587,1.97527,0.26454,0.20224,0.13732,0.05046,2.27667,2.93423,2.27441,0.00177651,0.00177651,0.00177651
75,472.211,1.8839,2.54869,1.97483,0.28428,0.21343,0.1433,0.05168,2.29272,2.93348,2.28675,0.00166149,0.00166149,0.00166149
76,478.51,1.88446,2.56705,1.99129,0.23841,0.23081,0.13555,0.05059,2.29574,2.88443,2.27956,0.00154982,0.00154982,0.00154982
77,484.693,1.8797,2.54892,1.97637,0.24626,0.23512,0.13546,0.04842,2.24943,2.9116,2.25352,0.00144161,0.00144161,0.00144161
78,490.858,1.87608,2.53036,1.98392,0.26359,0.22944,0.13573,0.05108,2.28171,2.944,2.26793,0.00133695,0.00133695,0.00133695
79,497.027,1.87575,2.50867,1.97475,0.23407,0.20892,0.12936,0.04754,2.29177,2.87501,2.27981,0.00123596,0.00123596,0.00123596
80,503.196,1.87157,2.50758,1.9749,0.23027,0.23977,0.13818,0.05467,2.2751,2.90313,2.2695,0.00113873,0.00113873,0.00113873
81,509.359,1.86576,2.52243,1.96514,0.23382,0.22828,0.14847,0.05688,2.29697,2.87058,2.29174,0.00104537,0.00104537,0.00104537
82,515.514,1.84363,2.49745,1.96243,0.29467,0.21094,0.14301,0.054,2.28891,2.89087,2.29056,0.000955951,0.000955951,0.000955951
83,521.644,1.84988,2.48129,1.95764,0.24479,0.23583,0.13875,0.0518,2.28369,2.91551,2.28621,0.000870577,0.000870577,0.000870577
84,527.784,1.84384,2.47832,1.93655,0.2517,0.23244,0.1471,0.05613,2.29727,2.86105,2.28264,0.000789327,0.000789327,0.000789327
85,533.967,1.83643,2.503,1.9441,0.2476,0.23299,0.15046,0.05545,2.28299,2.90166,2.26788,0.000712282,0.000712282,0.000712282
86,540.167,1.86782,2.52653,1.97171,0.25316,0.23835,0.15447,0.05899,2.26384,2.87549,2.27003,0.000639518,0.000639518,0.000639518
87,546.382,1.8631,2.46392,1.93712,0.26964,0.22671,0.14562,0.0551,2.28267,2.92624,2.27853,0.000571106,0.000571106,0.000571106
88,552.564,1.8289,2.45404,1.93292,0.27911,0.22959,0.15547,0.05689,2.28736,2.90592,2.28726,0.000507115,0.000507115,0.000507115
89,558.729,1.82744,2.45447,1.93722,0.2314,0.25816,0.14845,0.05603,2.28971,2.85143,2.29044,0.000447606,0.000447606,0.000447606
90,564.877,1.84678,2.47286,1.95356,0.28604,0.22415,0.15634,0.05805,2.29056,2.872,2.28385,0.00039264,0.00039264,0.00039264
91,572.028,1.97246,2.65573,2.0933,0.25317,0.23245,0.16272,0.06659,2.26514,2.77465,2.27538,0.00034227,0.00034227,0.00034227
92,578.216,1.94382,2.57973,2.07698,0.24356,0.23145,0.15118,0.05836,2.24616,2.82822,2.24132,0.000296546,0.000296546,0.000296546
93,584.257,1.92995,2.54822,2.06538,0.2438,0.23646,0.14826,0.05788,2.25572,2.83189,2.24517,0.000255513,0.000255513,0.000255513
94,590.313,1.92921,2.54439,2.07536,0.23935,0.22978,0.14385,0.05615,2.25894,2.85095,2.2495,0.000219212,0.000219212,0.000219212
95,596.372,1.92312,2.53387,2.07462,0.24502,0.23667,0.14731,0.05853,2.24279,2.8419,2.24174,0.000187678,0.000187678,0.000187678
96,602.448,1.92819,2.53766,2.07672,0.24985,0.23484,0.15113,0.05825,2.25223,2.82278,2.24508,0.000160943,0.000160943,0.000160943
97,608.533,1.92519,2.53527,2.06878,0.24187,0.25772,0.1548,0.05943,2.24297,2.82141,2.23178,0.000139032,0.000139032,0.000139032
98,614.653,1.9143,2.53402,2.06569,0.24369,0.25057,0.14931,0.05784,2.24361,2.83996,2.23201,0.000121968,0.000121968,0.000121968
99,620.8,1.92781,2.55022,2.07788,0.25181,0.24095,0.1538,0.05968,2.24518,2.82712,2.23376,0.000109768,0.000109768,0.000109768
100,626.936,1.89901,2.5059,2.04547,0.25211,0.25006,0.15279,0.05827,2.24656,2.85195,2.23941,0.000102443,0.000102443,0.000102443
